Termo,Definição técnica,Definição simples,Linguagem simples
Imposto Predial e Territorial Urbano,"O Imposto tem como fato gerador a propriedade, o domínio útil ou a posse de bem imóvel, como definido na Lei Civil, localizado na Zona Urbana do Município. O Imposto constitui ônus real e acompanha o imóvel nos casos de transferência de propriedade ou de direitos reais a ele relativos.","É um imposto cobrado sobre uma propriedade, um domínio útil ou um bem imóvel localizado na Zona Urbana do Município. Toda a dívida existente relativa ao IPTU se transfere com o imóvel para o seu adquirente.","Imposto cobrado sobre uma propriedade imobiliária na Zona Urbana da cidade. Caso o imóvel seja vendido, as dívidas existentes relativas ao IPTU são responsabilidade do novo proprietário."
Valor venal,"O valor venal do imóvel é a estimativa de preço do imóvel estipulada pelo Poder Público, que deve ser pautada pelo valor que o bem alcançaria no mercado em condições normais de negociação.",É um valor estimado pelo Poder Público a partir do valor que o bem alcançaria em condições normais no mercado.,Valor do imóvel estipulado pelo governo.
Contribuinte de IPTU,"O contribuinte do Imposto é o proprietário do imóvel, o titular do seu domínio útil ou o possuidor a qualquer título.",Proprietário do imóvel.,Pessoa que é dona de um imóvel.
Ônus real,"São obrigações que limitam a fruição e a disposição da propriedade, representam direitos sobre alguma coisa alheia. São direitos onerados cuja utilidade consistiria em gerar créditos pessoais em favor do titular.",É uma obrigação que limita o usufruto da propriedade.,São obrigações que limitam o uso e gozo da propriedade
Áreas non aedificandi,"Entendem-se por “áreas non-aedificandi” as áreas não edificáveis, isto é, áreas onde é impedido construir por questão de segurança (faixas de domínio de rodovias e ferrovias, por exemplo) ou para facilitar a operação de redes de equipamentos urbanos (como a rede pública de coleta passando em fundos de lotes, por exemplo), ou, ainda, por questões ambientais (margens de águas correntes e dormentes, por exemplo), podendo tais áreas estar inseridas nas áreas privadas (lotes) ou nas áreas pública (sistema público de lazer ou área pública institucional).",São áreas onde não é permitido erguer edificações.,Onde é proibido construir edificações.
Insubsistência das razões de isenção,"Ocorre quando o direito ao benefício fiscal da isenção não mais se aplica a determinado contribuinte ou situação, por alguma razão particular ou de ordem pública.",Quando as razões que justificavam o direito de isenção de uma pessoa passam a não existir mais.,É quando os motivos pelos quais foi concedida a isenção a uma pessoa não existem mais.
Promitente comprador em caráter irretratável,"O Direito do Promitente Comprador é um direito real à propriedade e encontra previsão legal no art. 1.225, inciso VII do Código Civil Brasileiro (Lei 10.406 /2002), cujo direito nasce da contratação preliminar por instrumento de promessa de compra e venda de imóvel urbano ou rural, pactuado de forma irretratável, ou seja, em que não seja admitido o arrependimento.",É alguém que compra um imóvel com contrato sem direito de arrependimento.,Pessoa que compra um imóvel e não tem direito de arrependimento.
Ônus fiscal,"Designa amplamente os tributos e abrange os impostos, taxas, contribuições de melhoria.",É o encargo de impostos.,Dever de pagamento do imposto.
Concessão de uso especial para fins de moradia,"Aquela pessoa que possuiu como seu, por cinco anos, ininterruptamente e sem oposição, até duzentos e cinquenta metros quadrados de imóvel público situado em área com características e finalidade urbanas, e que o utilize para sua moradia ou de sua família, tem o direito à concessão de uso especial para fins de moradia em relação ao bem objeto da posse, desde que não seja proprietário ou concessionário, a qualquer título, de outro imóvel urbano ou rural.","Se uma pessoa utilizou um imóvel público e urbano durante cinco anos, sem interrupção e oposição, ela possui direito de morar nesse imóvel caso não seja proprietária de outro imóvel urbano ou rural.",Quando uma pessoa tem direito de morar em um imóvel público se utilizou ele durante cinco anos e se não for dona de outro imóvel.
Presunção relativa de certeza,"Presunção relativa de certeza significa que a avaliação do fisco municipal é tomada como correta, salvo prova em contrário, a qual compete ao contribuinte.",A avaliação fiscal é considerada correta enquanto não existam provas contrárias apresentadas pelo contribuinte.,"O Estado está correto a princípio, mas o cidadão pode provar o contrário."
Logradouro,"Área disponível reservada pelo setor público ao trânsito ou paragem de veículos, ou à movimentação de pedestres: jardins, parques, passeios, avenidas, ruas, alamedas, áreas de lazer, calçadões, praças, largos e viadutos.",É o espaço público destinado ao fluxo de pessoas e veículos.,Lugar público.
Testada do terreno,Linha que separa o logradouro público do lote ou terreno e coincide com o alinhamento existente ou projetado.,É o comprimento total da frente de um terreno.,A parte da frente de um terreno.
Situação pedológica do terreno,"Classificação do terreno quanto à sua pedologia particular, levando em conta se o aspecto do terreno está normal, arenoso, rochoso, inundável ou alagado.","É a situação em que o terreno se encontra, podendo ser normal, arenoso, rochoso, inundável ou alagado.","Se o terreno estiver:
– Normal;
– Arenoso;
– Rochoso;
– Inundável;
– Alagado."
Situação topográfica do terreno,"Classificação do terreno quanto à sua topografia particular, levando em conta se o aspecto do terreno está plano, em aclive, em declive, irregular ou em encosta.","É a situação em que o terreno se encontra, podendo ser plano, em aclive, em declive, irregular ou em encosta.","Se o terreno estiver:
– Plano;
– Em aclive;
– Em declive;
– Irregular;
– Em encosta."
Crédito tributário,"Designa-se “Crédito Tributário” a prestação em moeda ou em outro valor que nela se possa exprimir, que o sujeito ativo da obrigação tributária (União, Estados, Distrito Federal e Municípios) tem o direito de exigir do sujeito passivo direto ou indireto (contribuinte ou responsável).","É um valor que o sujeito ativo (União, Estados, Distrito Federal e Municípios) tem direito de exigir do sujeito passivo direto ou indireto (contribuinte ou responsável).",É um valor de tributo exigido.
Informações que não mereçam fé,"Informações que não merecem fé são aquelas desajustadas da realidade de fato observada. São informações que não são dignas de confiança. Em termos práticos, são informações declaradas pelo contribuinte, mas que se afiguram incompletas, equivocadas ou mesmo falsas e que, portanto, são desconsideradas pelo fisco municipal em qualquer análise.","São informações declaradas pelo contribuinte que são desconsideradas da análise por serem incompletas, equivocadas ou falsas.",Quando as informações prestadas pelo contribuinte não são verídicas e/ou confiáveis.
Lançamento complementar,"Lançamento complementar é um novo lançamento tributário que complementa outro anteriormente realizado, em razão da ocorrência de novo fato gerador ou da descoberta de que o lançamento anterior não foi realizado sobre as bases corretas.",É um novo lançamento fundado em novo fato gerador ou em inconsistências de lançamento anterior.,Lançamento feito a partir de novo fato gerador ou de lançamentos anteriores que não foram feitos corretamente.
Tributação predial ou territorial,"O Imposto Predial e Territorial Urbano será calculado mediante a aplicação das alíquotas definidas em lei sobre o valor venal dos imóveis, as quais podem variar de acordo com o tipo de uso (residencial ou não residencial) e com a ocupação (edificado ou não edificado) do imóvel.",É o imposto cobrado sobre o valor venal dos imóveis prediais (edificado) e territoriais (não edificados).,Imposto cobrado sobre o valor estipulado do imóvel.
